wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, snow_line_date 
CA2S017A1060, ,77.31,-80.47,0.17,330,19600802
CA2S017A1130, ,77.322,-80.187,0.52,416,19600802
CA2S017A1140, ,77.305,-80.208,1.85,428,19600802
CA2S017A1170, ,77.287,-80.043,0.76,761,19600802
CA2S017A1280, ,77.337,-79.668,0.31,259,19590812
CL1L00202040, ,-47.18,-73.36,351.3, , 
CL1L00204063, ,-47.36,-73.5,324.2, , 
CL1L03021003, ,-53.317,-72.85,1.7, , 
CL1L03132001, ,-53.233,-72.95,1.4, , 
CL1L03132003, ,-53.233,-72.967,2.3, , 
CL1L03132004, ,-53.217,-72.983,1.9, , 
CL1L03133001, ,-53.283,-72.883,1.8, , 
CL1L03133003, ,-53.267,-72.917,2.7, , 
CL1L03133005, ,-53.25,-72.967,0.8, , 
CL1L03134001, ,-53.25,-72.817,0.8, , 
CL1L03134006, ,-53.25,-72.8,1.6, , 
CL1L03135001, ,-53.3,-72.833,5.2, , 
CL1L03135002, ,-53.283,-72.85,3.2, , 
CL1L03135005, Torres,-53.267,-72.783,0.8, , 
CN5X045J0032,32,42.37,81.85,4.22,3940,19630000
CN5Y582J0002,2,38.1,96.42,57.07,4960, 
EC1D30306001, ,-0.532,-78.37,0.06,4750,19750000
EC1D30306002, ,-0.537,-78.368,0.06,4750,19750000
EC1D30306003, ,-0.535,-78.375,0.06,4750,19750000
EC1Q00014001, ,0.372,-78.343,0.03,4800,19750000
EC1Q00014002, ,0.37,-78.343,0.03,4800,19750000
FR4N01151A09, GROUPE,45.251,6.603,0.1, , 
FR4N01172D03, VACCIVIER,44.858,6.288,0.28,2950, 
GL2U1AA03016, ,60.13,-44.55,1.14, , 
GL2U1AA08013, ,60.26,-44.35,2.76, , 
GL2U1AA10009, ,60.43,-44.3,3.01, , 
GL2U1AA10021, ,60.33,-44.18,0.75, , 
GL2U1AA11013, ,60.4,-44.13,121.5, , 
GL2U1AA12005, ,60.2,-43.9,87.3, , 
GL2U1AA22006, ,59.95,-44.1,1.11, , 
GL2U1AA22007, ,59.95,-44.08,1.13, , 
GL2U1AA22008, ,59.96,-44.06,0.18, , 
GL2U1AB06007, ,60.53,-44.35,0.3, , 
GL2U1AB09007, ,60.38,-44.4,0.49, , 
GL2U1AG07016, ,61.5,-45.03,2.94, , 
GL2U1AG07042, ,61.46,-44.7,4.71, , 
GL2U1AG10030, ,61.15,-44.86,1.3, , 
GL2U1AH08019, ,61.46,-45.63,0.82, , 
GL2U1AH08020, ,61.48,-45.65,18.9, , 
GL2U1BD06002, ,61.66,-47.61,1.54, , 
GL2U1BE04011, ,61.73,-48.26,2.81, , 
GL2U1BF03015, ,61.93,-48.08,25.44, , 
GL2U1BF03032, ,61.91,-48.11,8.06, , 
GL2U1BF03033, ,61.91,-48.06,2, , 
GL2U1BF03034, ,61.91,-48.03,4.44, , 
GL2U1BF03041, ,61.76,-48.21,3.72, , 
GL2U1BF03053, ,61.78,-48.41,1.75, , 
GL2U1BK01003, ,62.85,-48.91,0.32, , 
GL2U1BK01005, ,62.81,-48.83,0.2, , 
GL2U1BK01009, ,62.68,-49.45,2.2, , 
GL2U1BK01013, ,62.63,-49.5,0.07, , 
GL2U1BK01014, ,62.61,-49.5,0.09, , 
GL2U1BK01015, ,62.65,-49.48,0.14, , 
GL2U1BK01018, ,62.63,-49.4,4.1, , 
GL2U1BK01024, ,62.61,-49.08,0.06, , 
GL2U1CB02001, ,63.13,-49.95,6, , 
GL2U1CB04001, ,63.05,-50.1,1, , 
GL2U1CB04003, ,63.03,-50.03,1.2, , 
GL2U1CB04004, ,63.05,-50.06,4.97, , 
GL2U1CB05001, ,63.03,-49.95,3.9, , 
GL2U1CB05002, ,63.01,-49.98,8.9, , 
GL2U1CB10001, ,62.96,-49.6,3.25, , 
GL2U1CB10002, ,62.96,-49.65,0.23, , 
GL2U1CC03001, ,63.3,-50.75,1.1, , 
GL2U1CC05004, ,63.31,-50.46,1.3, , 
GL2U1CC05006, ,63.31,-50.41,0.7, , 
GL2U1CC05007, ,63.31,-50.41,1, , 
GL2U1CC05008, ,63.31,-50.4,0.7, , 
GL2U1CC05009, ,63.33,-50.38,7.1, , 
GL2U1CC05010, ,63.25,-50.43,1.2, , 
GL2U1CC07001, ,63.26,-50.4,0.6, , 
GL2U1CC07002, ,63.35,-50.28,4.6, , 
GL2U1CC07003, ,63.33,-50.2,2.2, , 
GL2U1CC08001, ,63.31,-50.16,0.2, , 
GL2U1CC08002, ,63.31,-50.13,0.6, , 
GL2U1CC08003, ,63.3,-50.13,1.2, , 
GL2U1CC09006, ,63.2,-49.25,1, , 
GL2U1CC09022, ,63.15,-49.88,3, , 
GL2U1CD04009, ,63.5,-50.33,21.3, , 
GL2U1CD04010, ,63.51,-50.28,11.2, , 
GL2U1CD07005, ,63.4,-49.95,0.7, , 
GL2U1CD07006, ,63.43,-50.11,2.94, , 
GL2U1CD08001, ,63.31,-50.13,2.2, , 
GL2U1CD08002, ,63.33,-50.16,1.7, , 
GL2U1CD08003, ,63.33,-50.18,0.7, , 
GL2U1CD09002, ,63.35,-50.33,3.6, , 
GL2U1CD09003, ,63.35,-50.35,3.9, , 
GL2U1CD10002, ,63.33,-50.43,4.8, , 
GL2U1CD10003, ,63.31,-50.48,3.1, , 
GL2U1CD10004, ,63.31,-50.53,4.45, , 
GL2U1CE01001, ,63.78,-51.06,0.7, , 
GL2U1CE01002, ,63.76,-51.06,0.8, , 
GL2U1CE01003, ,63.76,-51.05,0.7, , 
GL2U1CE01005, ,63.76,-51.01,0.8, , 
GL2U1CE01006, ,63.76,-51.01,0.7, , 
GL2U1CE01007, ,63.78,-50.98,0.8, , 
GL2U1CE01008, ,63.78,-50.96,1, , 
GL2U1CE01009, ,63.76,-50.93,2.5, , 
GL2U1CE01010, ,63.78,-50.91,5.2, , 
GL2U1CE01011, ,63.8,-50.9,0.4, , 
GL2U1CE01013, ,63.8,-50.85,4, , 
GL2U1CE08013, ,63.75,-49.81,1, , 
GL2U1CF01001, ,63.9,-51.16,1.1, , 
GL2U1CF01002, ,63.9,-51.16,1.4, , 
GL2U1CF06012, ,63.8,-50.96,5.3, , 
GL2U1CF06013, ,63.8,-51,1.2, , 
GL2U1CF06014, ,63.81,-51.03,5.2, , 
GL2U1CF07001, ,63.8,-51.05,5.2, , 
GL2U1CG01016, ,64.13,-51.46,0.14, , 
GL2U1CG14005, ,63.93,-49.93,0.42, , 
GL2U1CG14029, ,63.93,-50.71,0.37, , 
GL2U1CG16006, ,64.03,-50.71,5.82, , 
GL2U1CG24001, ,63.91,-51.18,2.6, , 
GL2U1DA03003, ,65.28,-51.75,1.14, , 
GL2U1DB11024, ,65.68,-51.08,0.5, , 
GL2U1DB11025, ,65.7,-51.13,2.98, , 
GL2U1DB11026, ,65.7,-51.16,2.3, , 
GL2U1DB13003, ,65.68,-51.16,1.81, , 
GL2U1DB14006, ,65.46,-52.03,2.21, , 
GL2U1DB14007, ,65.46,-52.06,2.95, , 
GL2U1DB15004, ,65.35,-52.08,0.59, , 
GL2U1DB15005, ,65.36,-52.1,0.81, , 
GL2U1DB16001, ,65.28,-52.1,1.56, , 
GL2U1DC02006, ,65.66,-52.5,1.13, , 
GL2U1DC02008, ,65.65,-52.58,1.97, , 
GL2U1DC02009, ,65.63,-52.58,1.82, , 
GL2U1DC08003, ,65.55,-52.46,0.18, , 
GL2U1DF03003, ,66.05,-52.81,0.45, , 
GL2U1DF21006, ,65.95,-51.85,7.94, , 
GL2U1DF25004, ,65.85,-52.2,0.9, , 
GL2U1DF26003, ,65.83,-52.2,0.3, , 
GL2U1DF33003, ,65.83,-52.73,0.84, , 
GL2U1DG16172, ,66.2,-50.4,0.61, , 
GL2U1DG16237, ,65.98,-50.21,6.08, , 
GL2U1DG21015, ,66.25,-52.66,0.5, , 
GL2U1DG22004, ,66.21,-52.66,0.65, , 
GL2U1DG23005, ,66.2,-52.83,0.39, , 
GL2U1EA01001, ,66.3,-53.53,3.54, , 
GL2U1EB06002, ,66.43,-52.56,4.04, , 
GL2U1EB10018, ,66.45,-52.8,0.84, , 
GL2U1EB10023, ,66.4,-52.68,0.89, , 
GL2U1EB10024, ,66.38,-52.68,0.44, , 
GL2U1EF32007, ,67.26,-52.71,1.09, , 
GL2U1EF33003, ,67.26,-52.75,0.83, , 
GL2U1EF34001, ,67.26,-52.75,0.15, , 
GL2U1EF35003, ,67.16,-52.58,3.1, , 
GL2U1EF35004, ,67.16,-52.61,2.53, , 
GL2U1EF36011, ,67.18,-52.9,5.05, , 
GL2U1GH01003, ,70.35,-52.7,8.36, , 
GL2U1GH01004, ,70.33,-52.66,5.81, , 
GL2U1GH01005, ,70.31,-52.68,0.66, , 
GL2U1GH01006, ,70.31,-52.68,0.31, , 
GL2U1GH02006, ,70.2,-52.45,0.69, , 
GL2U1GH02007, ,70.21,-52.43,0.65, , 
GL2U1GH02009, ,70.21,-52.35,1.64, , 
GL2U1GH02019, ,70.28,-52.6,1.4, , 
GL2U1GH02020, ,70.28,-52.56,1.84, , 
GL2U1GH02023, ,70.31,-52.68,0.89, , 
GL2U1GH02024, ,70.31,-52.6,26.77, , 
GL2U1GH02025, ,70.35,-52.58,0.85, , 
GL2U1GH02026, ,70.36,-52.56,0.56, , 
GL2U1GH02027, ,70.35,-52.51,0.95, , 
GL2U1GH02028, ,70.35,-52.48,1.5, , 
GL2U1GH02029, ,70.33,-52.45,0.45, , 
GL2U1GH02035, ,70.21,-52.01,0.19, , 
GL2U1GH02036, ,70.2,-51.98,0.53, , 
GL2U1GH02037, ,70.2,-52.03,4.4, , 
GL2U1GH02038, ,70.2,-52.08,1.15, , 
GL2U1GH02039, ,70.18,-52.08,0.56, , 
GL2U1GH02040, ,70.2,-52.01,1.25, , 
GL2U1GH02041, ,70.2,-51.98,0.7, , 
GL2U1GH02042, ,70.18,-51.95,0.14, , 
GL2U1GH02043, ,70.16,-52,1.61, , 
GL2U1GH02044, ,70.15,-52.01,0.27, , 
GL2U1GH02045, ,70.15,-52.01,1.14, , 
GL2U1GH02046, ,70.13,-52.01,0.42, , 
GL2U1GH02047, ,70.13,-52,0.94, , 
GL2U1GH02049, ,70.15,-52,0.89, , 
GL2U1GH02050, ,70.15,-51.88,0.73, , 
GL2U1GH02051, ,70.15,-51.85,0.44, , 
GL2U1HA01004, ,69.41,-54.03,0.75, , 
GL2U1HA01005, ,69.4,-54.01,0.43, , 
GL2U1HA01006, ,69.4,-53.96,0.73, , 
GL2U1HA01010, ,69.4,-53.93,1.67, , 
GL2U1HA01014, ,69.4,-53.7,1.62, , 
GL2U1HA01015, ,69.4,-53.66,1.59, , 
GL2U1HA01020, ,69.36,-53.73,0.24, , 
GL2U1HA04009, ,69.31,-53.36,3.08, , 
GL2U1HA05002, ,69.3,-53.33,1.02, , 
GL2U1HA05003, ,69.31,-53.3,0.91, , 
GL2U1HA05004, ,69.33,-53.3,0.47, , 
GL2U1HA05007, ,69.35,-53.33,1.67, , 
GL2U1HA05010, ,69.36,-53.18,0.69, , 
GL2U1HA05012, ,69.35,-53.15,0.48, , 
GL2U1HA06006, ,69.38,-53.1,0.05, , 
GL2U1HB10008, ,69.73,-54.1,2, , 
GL2U1HB10009, ,69.75,-54.11,1.19, , 
GL2U1HB10010, ,69.76,-54.1,1.79, , 
GL2U1HB10027, ,69.8,-53.81,14.3, , 
GL2U1HB10033, ,69.76,-53.8,1.93, , 
GL2U1HB10034, ,69.75,-53.78,0.06, , 
GL2U1HB10035, ,69.78,-53.8,5.08, , 
GL2U1HB10036, ,69.78,-53.66,30.07, , 
GL2U1HB10037, ,69.75,-53.7,3.48, , 
GL2U1HB10040, ,69.71,-53.78,0.86, , 
GL2U1HB11004, ,69.68,-53.8,1.14, , 
GL2U1HB11010, ,69.6,-53.63,0.27, , 
GL2U1HB11013, ,69.7,-53.76,1.24, , 
GL2U1HB11014, ,69.7,-53.78,1.07, , 
GL2U1HB11015, ,69.71,-53.73,1.76, , 
GL2U1HB11016, ,69.73,-53.68,0.73, , 
GL2U1HB11020, ,69.71,-53.63,3.56, , 
GL2U1HB11021, ,69.7,-53.63,1.64, , 
GL2U1HB11022, ,69.7,-53.63,0.42, , 
GL2U1HB11023, ,69.7,-53.63,0.8, , 
GL2U1HB11024, ,69.68,-53.61,0.36, , 
GL2U1HB11026, ,69.68,-53.61,0.31, , 
GL2U1HB11027, ,69.7,-53.58,2.07, , 
GL2U1HB11028, ,69.71,-53.6,1.48, , 
GL2U1HB11029, ,69.75,-53.6,38.49, , 
GL2U1HB11030, ,69.76,-53.51,0.75, , 
GL2U1HB11031, ,69.75,-53.51,1.28, , 
GL2U1HB11032, ,69.75,-53.5,1.15, , 
GL2U1HB11033, ,69.75,-53.46,0.64, , 
GL2U1HB15009, ,69.75,-53.46,2.28, , 
GL2U1HB15010, ,69.75,-53.45,0.89, , 
GL2U1HB15011, ,69.76,-53.45,0.74, , 
GL2U1HB15012, ,69.76,-53.41,9.89, , 
GL2U1HB15013, ,69.8,-53.46,35.23, , 
GL2U1HB16073, ,69.4,-53.36,1.55, , 
GL2U1HB16074, ,69.41,-53.36,0.44, , 
GL2U1HB16078, ,69.41,-53.4,1.53, , 
GL2U1HB17007, ,69.4,-53.63,1.3, , 
GL2U1HB17008, ,69.41,-53.63,0.86, , 
GL2U1HB17009, ,69.41,-53.65,0.57, , 
GL2U1HB17010, ,69.41,-53.66,0.62, , 
GL2U1HB17012, ,69.41,-53.7,0.41, , 
GL2U1HB18009, ,69.41,-53.98,0.62, , 
GL2U1HC03008, ,69.78,-54.18,8.05, , 
GL2U1HC03010, ,69.76,-54.21,3.32, , 
GL2U1HC03011, ,69.76,-54.28,3.17, , 
GL2U1HC03013, ,69.76,-54.33,3.91, , 
GL2U1HC04004, ,69.73,-54.35,1.12, , 
GL2U1HC04005, ,69.73,-54.28,1.14, , 
GL2U1HC04006, ,69.73,-54.26,0.78, , 
GL2U1HC04007, ,69.75,-54.25,0.62, , 
GL2U1HC04008, ,69.75,-54.23,0.54, , 
GL2U1HC04011, ,69.75,-54.2,0.73, , 
GL2U1HC04012, ,69.75,-54.16,1.21, , 
GL2U1HC04013, ,69.76,-54.15,0.9, , 
GL2U1HC04014, ,69.76,-54.13,0.77, , 
GL2U1HC04015, ,69.75,-54.11,0.46, , 
GL2U1HC04016, ,69.75,-54.11,0.34, , 
GL2U1HC04017, ,69.73,-54.11,1.4, , 
GL2U1HC04018, ,69.73,-54.11,1.41, , 
GL2U1HC05003, ,69.63,-54.38,0.67, , 
GL2U1HC05004, ,69.63,-54.43,4.17, , 
GL2U1HC05006, ,69.63,-54.46,1.65, , 
GL2U1HD04003, ,70.06,-54.4,1.15, , 
GL2U1HD06007, ,70.06,-54.28,0.73, , 
GL2U1HD06040, ,69.86,-53.45,0.76, , 
GL2U1HD06041, ,69.85,-53.5,33.68, , 
GL2U1HD06042, ,69.85,-53.61,5.39, , 
GL2U1HD06044, ,69.86,-53.63,0.15, , 
GL2U1HD06046, ,69.86,-53.7,4.48, , 
GL2U1HD06048, ,69.86,-53.76,6.15, , 
GL2U1HD06051, ,69.88,-53.8,5.76, , 
GL2U1HD06053, ,69.9,-53.85,3.25, , 
GL2U1HD07018, ,69.86,-53.9,7.54, , 
GL2U1HD07019, ,69.86,-53.9,0.18, , 
GL2U1HD07020, ,69.86,-53.9,0.57, , 
GL2U1HD07021, ,69.85,-53.8,0.67, , 
GL2U1HD07028, ,69.81,-53.78,28.97, , 
GL2U1HD07032, ,69.8,-53.88,3.82, , 
GL2U1HD07040, ,69.78,-54.11,8.16, , 
GL2U1HD07048, ,69.88,-54.26,0.42, , 
GL2U1HE01037, ,69.83,-52.8,0.12, , 
GL2U1HE03002, ,70,-53.1,2.82, , 
GL2U1HE03003, ,70.01,-53.16,19.59, , 
GL2U1HE03004, ,70.01,-53.11,1.22, , 
GL2U1HE05001, ,70.1,-53.18,0.35, , 
GL2U1HE06001, ,70.05,-53.25,25.91, , 
GL2U1HE09002, ,70.16,-53.6,11.85, , 
GL2U1HE09003, ,70.16,-53.66,0.38, , 
GL2U1HE09014, ,70.13,-53.55,8.89, , 
GL2U1HE09022, ,70,-53.26,7.1, , 
GL2U1HE09024, ,69.98,-53.28,1.3, , 
GL2U1HE09025, ,69.98,-53.23,3.29, , 
GL2U1HE09028, ,69.98,-53.18,2.57, , 
GL2U1HE09030, ,69.96,-53.15,0.37, , 
GL2U1HE09031, ,69.98,-53.13,0.86, , 
GL2U1HE09032, ,69.98,-53.05,0.77, , 
GL2U1HE09033, ,69.96,-53,1.54, , 
GL2U1HE09051, ,69.95,-53.46,10.51, , 
GL2U1HE09055, ,69.95,-53.45,0.12, , 
GL2U1HE09058, ,69.98,-53.45,0.76, , 
GL2U1HE09059, ,69.96,-53.48,6.63, , 
GL2U1HE09060, ,70,-53.43,0.25, , 
GL2U1HE09061, ,70,-53.51,2.97, , 
GL2U1HE09078, ,70,-53.66,16.88, , 
GL2U1HE09079, ,70,-53.65,1.12, , 
GL2U1HE09082, ,70.03,-53.76,0.41, , 
GL2U1HE09090, ,70.05,-53.95,7.16, , 
GL2U1HE09121, ,70.26,-54.1,2.22, , 
GL2U1HE10003, ,70.23,-54.18,1.82, , 
GL2U1HE10004, ,70.21,-54.16,1.8, , 
GL2U1HE11001, ,70.21,-54.28,1.36, , 
GL2U1IA02061, ,70.63,-52.95,1.02, , 
GL2U1IA02062, ,70.61,-52.88,17.81, , 
GL2U1IA02063, ,70.6,-52.85,2.54, , 
GL2U1IA02064, ,70.58,-52.78,3.45, , 
GL2U1IA02065, ,70.56,-52.76,0.96, , 
GL2U1IA02068, ,70.53,-52.8,1.08, , 
GL2U1IA02070, ,70.51,-52.81,1.92, , 
GL2U1IA02071, ,70.5,-52.78,0.67, , 
GL2U1IA02072, ,70.5,-52.7,0.17, , 
GL2U1IA02073, ,70.5,-52.66,1.3, , 
GL2U1IA02074, ,70.5,-52.66,0.49, , 
GL2U1IA02075, ,70.5,-52.63,0.76, , 
GL2U1IA02076, ,70.48,-52.6,0.86, , 
GL2U1IA02077, ,70.5,-52.48,0.72, , 
GL2U1IA02080, ,70.53,-52.46,1.21, , 
GL2U1IA02216, ,70.15,-51.83,0.8, , 
GL2U1IA02217, ,70.15,-51.86,1.83, , 
GL2U1IA02218, ,70.18,-51.95,0.54, , 
GL2U1IA02219, ,70.18,-51.93,1.63, , 
GL2U1IA02220, ,70.2,-51.95,1.08, , 
GL2U1IA02221, ,70.2,-51.96,1.38, , 
GL2U1IA02222, ,70.21,-51.98,0.5, , 
GL2U1IA02230, ,70.35,-52.41,2.54, , 
GL2U1IA02231, ,70.35,-52.45,0.66, , 
GL2U1IA02232, ,70.36,-52.41,0.6, , 
GL2U1IA02233, ,70.33,-52.48,4.77, , 
GL2U1IA02234, ,70.36,-52.51,1.94, , 
GL2U1IA02235, ,70.36,-52.53,0.44, , 
GL2U1IA02236, ,70.36,-52.56,2.15, , 
GL2U1IA02237, ,70.36,-52.58,0.56, , 
GL2U1IA02240, ,70.36,-52.65,0.97, , 
GL2U1IB21003, ,70.43,-51.63,1.12, , 
GL2U1IB22001, ,70.45,-51.66,0.26, , 
GL2U1IB29005, ,70.55,-52.45,2.05, , 
GL2U1IB29007, ,70.58,-52.45,1, , 
GL2U1IB30001, ,70.58,-52.46,1.61, , 
GL2U1IB30003, ,70.58,-52.55,62.18, , 
GL2U1IB30004, ,70.58,-52.58,1.54, , 
GL2U1IB30005, ,70.56,-52.5,0.37, , 
